y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.56147,2.44593,0.115533
0,2240,2.80927,2.6775,0.131765
0,2240,2.86951,2.75377,0.115735
0,2240,2.80175,2.68474,0.117013
0,2240,2.93606,2.80582,0.130246
0,2240,2.62044,2.50266,0.117773
0,2240,2.63471,2.51612,0.118595
0,2240,2.84232,2.71111,0.131213
0,2240,2.57798,2.46428,0.113694
0,2240,2.80735,2.69194,0.115412
0,2240,2.91941,2.79831,0.121099
0,2240,3.00276,2.87752,0.125239
0,2240,2.70987,2.59192,0.117952
0,2240,2.99777,2.87002,0.127745
0,2240,2.70665,2.58995,0.116694
0,2240,2.67521,2.55951,0.115708
0,2240,2.53558,2.42029,0.115291
0,2240,3.02149,2.90596,0.115528
0,2240,2.6819,2.55254,0.129366
0,2240,2.78393,2.65976,0.124167
0,2240,2.64721,2.5217,0.125514
0,2240,2.7873,2.66561,0.121688
0,2240,2.65748,2.53542,0.122055
0,2240,2.58379,2.46575,0.118035
0,2240,3.05082,2.9346,0.116216
0,2240,3.03887,2.93067,0.108206
0,2240,2.79466,2.68227,0.112385
0,2240,3.23711,3.11718,0.119934
0,2240,3.14363,3.02079,0.122834
0,2240,2.70015,2.57402,0.126125
0,2240,2.46183,2.34119,0.120643
0,2240,2.69526,2.58301,0.112244
0,2240,2.74459,2.62643,0.118159
0,2240,2.41559,2.30643,0.109154
0,2240,2.51408,2.39265,0.121426
0,2240,2.59155,2.47348,0.118068
0,2240,2.90043,2.77805,0.122381
0,2240,2.55843,2.43632,0.122114
0,2240,2.74517,2.62657,0.118606
0,2240,2.62891,2.50404,0.124864
0,2240,2.73594,2.61664,0.119304
0,2240,2.77773,2.65408,0.123646
0,2240,2.89746,2.77055,0.126911
0,2240,2.6763,2.56498,0.11132
0,2240,2.67595,2.55887,0.117075
0,2240,2.59822,2.47918,0.119034
0,2240,2.86359,2.74666,0.116925
0,2240,3.06582,2.94975,0.116069
0,2240,2.57396,2.45932,0.11464
0,2240,3.00311,2.87658,0.126528
0,2240,2.80235,2.68021,0.122139
0,2240,2.59549,2.47906,0.116428
0,2240,2.78669,2.66802,0.118674
0,2240,2.56994,2.45151,0.118438
0,2240,2.53163,2.40891,0.12272
0,2240,2.62964,2.50373,0.12591
0,2240,2.71943,2.60043,0.118992
0,2240,2.29467,2.17541,0.119256
0,2240,2.77555,2.66048,0.115072
0,2240,2.749,2.63079,0.118206
0,2240,2.76429,2.64677,0.117519
0,2240,2.79154,2.67374,0.117802
0,2240,2.8167,2.69372,0.122978
0,2240,2.8035,2.69196,0.111546
0,2240,3.1346,3.00457,0.130029
0,2240,2.85048,2.72259,0.12789
0,2240,2.63967,2.51017,0.1295
0,2240,2.77877,2.65802,0.120747
0,2240,2.29402,2.17635,0.117668
0,2240,2.49633,2.37581,0.120523
0,2240,3.01742,2.89649,0.120934
0,2240,2.72962,2.61684,0.112784
0,2240,2.57777,2.45782,0.119953
0,2240,2.75618,2.63968,0.116495
0,2240,2.65483,2.53643,0.118401
0,2240,2.61504,2.50021,0.114824
0,2240,2.5373,2.42497,0.112325
0,2240,2.981,2.86214,0.118861
0,2240,2.53018,2.40471,0.125466
0,2240,2.6355,2.51646,0.119035
0,2240,2.76119,2.65171,0.109487
0,2240,2.93461,2.81863,0.115979
0,2240,2.69349,2.58215,0.111344
0,2240,2.72465,2.59749,0.127152
0,2240,2.63736,2.51542,0.121936
0,2240,2.88659,2.76144,0.125147
0,2240,2.8643,2.74541,0.118885
0,2240,3.05022,2.92631,0.12391
0,2240,2.59782,2.4798,0.118028
0,2240,2.85061,2.73219,0.118416
0,2240,2.75063,2.63514,0.115495
0,2240,2.81991,2.70587,0.114044
0,2240,2.83825,2.70452,0.133724
0,2240,2.61828,2.50228,0.115999
0,2240,2.76108,2.64192,0.119155
0,2240,2.91414,2.79994,0.114195
0,2240,2.58571,2.4603,0.125413
0,2240,2.74929,2.6349,0.114395
0,2240,2.7499,2.62218,0.127722
0,2240,3.2257,3.11506,0.110643
0,2240,2.33085,2.21039,0.120457
0,2240,2.84332,2.72357,0.119752
0,2240,2.76577,2.64337,0.122397
0,2240,2.63147,2.50901,0.122467
0,2240,2.6533,2.53442,0.118878
0,2240,2.65279,2.5324,0.120386
0,2240,2.97283,2.84795,0.124883
0,2240,2.99612,2.87024,0.125871
0,2240,2.6266,2.50784,0.118755
0,2240,2.78609,2.67342,0.112669
0,2240,2.68487,2.5701,0.114767
0,2240,2.87526,2.75324,0.122023
0,2240,2.6247,2.51026,0.114441
0,2240,2.73276,2.61404,0.118713
0,2240,2.78928,2.67529,0.113986
0,2240,2.84609,2.73089,0.115202
0,2240,2.49125,2.37416,0.117083
0,2240,2.61685,2.49943,0.117417
0,2240,2.64853,2.52362,0.124903
0,2240,2.58862,2.47256,0.116052
0,2240,2.68012,2.55851,0.121606
0,2240,2.76434,2.64699,0.117353
0,2240,2.82691,2.71568,0.111234
0,2240,3.03204,2.91218,0.119855
0,2240,2.8786,2.75034,0.128254
0,2240,2.78763,2.66782,0.119815
0,2240,2.96227,2.83783,0.124441
0,2240,2.58487,2.46436,0.120503
0,2240,2.68923,2.57259,0.116639
0,2240,2.6221,2.50194,0.120154
0,2240,2.60762,2.49144,0.116181
