y,dNdeta,dNdy,PreEq,Hydro
0,2240,1.90079,1.82144,0.0793557
0,2240,3.64929,3.55855,0.0907348
0,2240,1.75522,1.65313,0.102086
0,2240,1.2356,1.15413,0.0814687
0,2240,3.25479,3.18073,0.0740585
0,2240,1.19667,1.09397,0.102706
0,2240,2.53694,2.42804,0.108905
0,2240,2.26324,2.06724,0.196
0,2240,1.56607,1.43544,0.130635
0,2240,2.23879,2.17336,0.0654242
0,2240,1.66555,1.61975,0.0457981
0,2240,3.60447,3.57319,0.0312753
0,2240,1.37509,1.30243,0.0726587
0,2240,2.57768,2.45488,0.122802
0,2240,1.54553,1.46407,0.0814648
0,2240,1.96249,1.87146,0.0910324
0,2240,2.46039,2.28423,0.17616
0,2240,2.77262,2.70831,0.0643106
0,2240,2.26589,2.19859,0.0673046
0,2240,2.07776,1.92229,0.155467
0,2240,1.2902,1.21721,0.0729861
0,2240,2.99495,2.72535,0.269604
0,2240,2.6667,2.55754,0.109162
0,2240,3.46051,3.37857,0.081939
0,2240,1.84989,1.77585,0.0740436
0,2240,5.34923,5.25053,0.0986998
0,2240,2.1875,2.08651,0.100986
0,2240,5.39295,5.24286,0.150086
0,2240,2.25668,2.17461,0.082065
0,2240,1.72231,1.61944,0.102869
0,2240,3.22579,3.11514,0.11065
0,2240,2.21221,2.13637,0.0758412
0,2240,2.3705,2.30213,0.0683688
0,2240,1.4221,1.26424,0.15786
0,2240,1.78961,1.74381,0.0457962
0,2240,4.68116,4.53722,0.143944
0,2240,2.81374,2.74491,0.0688286
0,2240,5.28893,5.15599,0.132932
0,2240,2.97772,2.89693,0.0807947
0,2240,0.670358,0.467911,0.202446
0,2240,4.19742,4.05845,0.138972
0,2240,2.21511,1.88155,0.333561
0,2240,2.23487,2.14659,0.0882856
0,2240,1.6223,1.46857,0.153731
0,2240,3.13074,2.96879,0.161953
0,2240,1.99995,1.94783,0.0521203
0,2240,2.24652,2.18685,0.0596735
0,2240,4.72932,4.66279,0.0665238
0,2240,3.2708,3.20701,0.063782
0,2240,0.932859,0.851184,0.0816754
0,2240,2.05832,1.95871,0.0996091
0,2240,2.13388,1.96342,0.170464
0,2240,0.953773,0.885332,0.0684417
0,2240,1.97564,1.89591,0.0797311
0,2240,5.4555,5.38121,0.074291
0,2240,1.90859,1.85325,0.055337
0,2240,3.79655,3.6865,0.110046
0,2240,2.99405,2.84194,0.152109
0,2240,1.8259,1.69059,0.135311
0,2240,1.25386,1.10131,0.152552
0,2240,1.65052,1.5056,0.144925
0,2240,4.52927,4.39773,0.131535
0,2240,4.54325,4.43313,0.110111
0,2240,1.61495,1.43188,0.183065
0,2240,1.60674,1.47161,0.135133
0,2240,2.46624,2.38444,0.0817986
0,2240,1.91963,1.81446,0.10517
0,2240,3.21384,3.05505,0.158793
0,2240,1.01663,0.88308,0.133546
0,2240,1.43645,1.33968,0.0967644
0,2240,2.86039,2.72733,0.133063
0,2240,1.14967,1.07908,0.0705983
0,2240,1.92313,1.83792,0.0852094
0,2240,5.97948,5.88346,0.0960236
0,2240,3.83406,3.61979,0.214264
0,2240,2.85271,2.76189,0.0908258
0,2240,2.03744,1.95057,0.0868701
0,2240,1.45602,1.3243,0.13173
0,2240,3.37626,3.29982,0.0764463
0,2240,1.11886,0.980548,0.138307
0,2240,5.63926,5.55312,0.0861333
0,2240,1.98163,1.89541,0.0862219
0,2240,2.60286,2.53579,0.0670713
0,2240,5.7459,5.65664,0.0892562
