y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.08545,2.02544,0.060004
0,2240,2.2127,2.138,0.0746954
0,2240,2.28732,2.2119,0.0754156
0,2240,2.07041,2.00416,0.0662494
0,2240,2.59563,2.53799,0.0576368
0,2240,1.94957,1.87689,0.0726861
0,2240,1.81778,1.75044,0.0673429
0,2240,2.24671,2.18202,0.0646942
0,2240,2.29727,2.22976,0.0675011
0,2240,2.37124,2.28923,0.0820113
0,2240,2.37379,2.32395,0.0498439
0,2240,1.76335,1.69276,0.0705919
0,2240,2.05808,1.98897,0.0691088
0,2240,2.0098,1.9422,0.0675989
0,2240,2.48901,2.41991,0.0691032
0,2240,3.34971,3.28649,0.0632158
0,2240,1.78909,1.73846,0.0506353
0,2240,2.11534,2.06205,0.0532957
0,2240,2.25418,2.18785,0.0663288
0,2240,2.27951,2.20858,0.0709275
0,2240,2.14458,2.08487,0.0597154
0,2240,2.65128,2.59129,0.0599889
0,2240,3.18046,3.13029,0.0501671
0,2240,1.96898,1.90969,0.0592842
0,2240,2.79418,2.73532,0.0588531
0,2240,2.20618,2.14857,0.0576098
0,2240,2.75832,2.67432,0.0840036
0,2240,1.65209,1.5603,0.0917923
0,2240,2.42431,2.34194,0.0823709
0,2240,3.53096,3.45945,0.071512
0,2240,2.10353,2.01304,0.0904902
0,2240,2.46499,2.40528,0.0597112
0,2240,2.86981,2.80346,0.0663488
0,2240,2.35743,2.30141,0.05602
0,2240,2.94172,2.87774,0.0639818
0,2240,1.69745,1.64353,0.0539176
0,2240,1.62305,1.55834,0.0647081
0,2240,2.03247,1.94441,0.0880671
0,2240,2.51901,2.46213,0.0568792
0,2240,2.52931,2.47783,0.0514744
0,2240,2.14618,2.07056,0.0756186
0,2240,1.88438,1.81805,0.0663279
0,2240,2.74486,2.67289,0.0719614
0,2240,2.56114,2.49662,0.0645269
0,2240,2.46504,2.39919,0.0658416
0,2240,2.50686,2.44723,0.0596284
0,2240,1.81253,1.7553,0.0572345
0,2240,2.18779,2.11183,0.0759536
0,2240,1.57334,1.49329,0.0800559
0,2240,2.08055,2.00527,0.075281
